protein,target,start,num_conformers,num_poses_searched,num_correct_poses_found,time_elapsed,time_elapsed_per_conformer,grid_loc_x,grid_loc_y,grid_loc_z,num_after_simple_200,num_correct_after_simple_200,num_after_simple_100,num_correct_after_simple_100,num_after_ideal_advanced_15,num_correct_after_ideal_advanced_15,num_after_simple_100_ideal_advanced_15,num_correct_after_simple_100_ideal_advanced_15
A5F5R2,4x24,4wkb,87,191139,670,395.7778232,4.549170382,-1,-1,-1,159854,670,76215,615,164,0,164,0
A5F5R2,4x24,4wkb,87,191139,5110,388.1454651,4.461442128,-1,-1,0,185496,5110,98856,5108,0,0,0,0
A5F5R2,4x24,4wkb,87,191139,289,384.888124,4.424001425,-1,-1,1,187586,289,72684,289,0,0,0,0
A5F5R2,4x24,4wkb,87,191139,5603,349.5856283,4.018225612,-1,0,-1,181812,5603,108995,5421,1097,109,1097,109
A5F5R2,4x24,4wkb,87,191139,13824,359.0543728,4.127061756,-1,0,0,190884,13824,146551,13823,1281,813,1281,813
A5F5R2,4x24,4wkb,87,191139,4129,374.789551,4.307925874,-1,0,1,188906,4129,131753,4129,0,0,0,0
A5F5R2,4x24,4wkb,87,191139,791,351.3822598,4.03887655,-1,1,-1,188190,791,105756,790,518,0,518,0
A5F5R2,4x24,4wkb,87,191139,5061,348.9637737,4.011077859,-1,1,0,191004,5061,140341,5061,1252,353,1252,353
A5F5R2,4x24,4wkb,87,191139,452,430.9713008,4.953693113,-1,1,1,186697,452,113783,452,0,0,0,0
A5F5R2,4x24,4wkb,87,191139,10659,410.8550649,4.72247201,0,-1,-1,166008,10659,96699,9983,1486,181,1486,181
A5F5R2,4x24,4wkb,87,191139,21197,399.266392,4.589268873,0,-1,0,188498,21197,128589,21165,166,166,166,166
A5F5R2,4x24,4wkb,87,191139,7139,426.9453232,4.907417508,0,-1,1,187878,7139,104071,7093,0,0,0,0
A5F5R2,4x24,4wkb,87,191139,24081,397.5939312,4.570045186,0,0,-1,180122,24081,127916,22990,4383,2340,4383,2340
A5F5R2,4x24,4wkb,87,191139,36761,386.7798665,4.445745591,0,0,0,190458,36761,163594,36752,6728,5497,6728,5497
A5F5R2,4x24,4wkb,87,191139,17231,460.3666055,5.291570178,0,0,1,189207,17231,142998,17087,1277,1173,1277,1173
A5F5R2,4x24,4wkb,87,191139,11769,402.9301727,4.631381295,0,1,-1,184511,11769,124274,11688,1054,474,1054,474
A5F5R2,4x24,4wkb,87,191139,20990,401.8938215,4.619469212,0,1,0,190644,20990,150172,20973,2598,2077,2598,2077
A5F5R2,4x24,4wkb,87,191139,7171,427.5200176,4.914023191,0,1,1,185680,7171,113439,6996,114,43,114,43
A5F5R2,4x24,4wkb,87,191139,7182,433.6745775,4.984765258,1,-1,-1,175297,7182,100494,7180,1449,294,1449,294
A5F5R2,4x24,4wkb,87,191139,16507,413.4817474,4.752663763,1,-1,0,189847,16507,136457,16506,252,247,252,247
A5F5R2,4x24,4wkb,87,191139,3308,404.4347203,4.648674946,1,-1,1,187913,3308,110939,3308,0,0,0,0
A5F5R2,4x24,4wkb,87,191139,19031,391.9055414,4.504661396,1,0,-1,182039,19031,127838,18997,2447,1567,2447,1567
A5F5R2,4x24,4wkb,87,191139,30681,381.7315807,4.387719319,1,0,0,190435,30681,163097,30675,4861,4005,4861,4005
A5F5R2,4x24,4wkb,87,191139,11724,369.4899561,4.24701099,1,0,1,188676,11724,135377,11480,505,483,505,483
A5F5R2,4x24,4wkb,87,191139,8106,367.838038,4.228023425,1,1,-1,183496,8106,116055,8093,642,383,642,383
A5F5R2,4x24,4wkb,87,191139,15650,359.0493903,4.127004486,1,1,0,189834,15650,138228,15612,959,732,959,732
A5F5R2,4x24,4wkb,87,191139,3571,386.4295809,4.441719321,1,1,1,181247,3571,97531,3439,0,0,0,0
P22894,3tt4,1zvx,278,610766,139,1138.002053,4.093532563,-1,-1,-1,531631,139,248800,139,5539,41,5539,41
P22894,3tt4,1zvx,278,610766,289,1133.379847,4.076905923,-1,-1,0,521202,289,235133,289,6459,16,6459,16
P22894,3tt4,1zvx,278,610766,104,1285.93817,4.625676872,-1,-1,1,444707,104,159034,104,3639,0,3639,0
P22894,3tt4,1zvx,278,610766,85,1334.48436,4.800303452,-1,0,-1,483649,85,191215,85,3754,42,3754,42
P22894,3tt4,1zvx,278,610766,13,1289.533996,4.638611498,-1,0,0,493023,13,210263,13,6231,11,6231,11
P22894,3tt4,1zvx,278,610766,0,1184.252846,4.259902324,-1,0,1,438776,0,171099,0,6574,0,6574,0
P22894,3tt4,1zvx,278,610766,0,1279.438074,4.60229523,-1,1,-1,397119,0,104222,0,328,0,328,0
P22894,3tt4,1zvx,278,610766,9,1222.080508,4.395973049,-1,1,0,434717,9,150953,9,1242,5,1242,5
P22894,3tt4,1zvx,278,610766,0,1189.402296,4.278425526,-1,1,1,416654,0,151900,0,3910,0,3910,0
P22894,3tt4,1zvx,278,610766,337,1119.191563,4.02586893,0,-1,-1,549380,337,324673,337,23063,177,23063,177
P22894,3tt4,1zvx,278,610766,325,1108.921906,3.98892772,0,-1,0,565550,325,361574,325,29239,145,29239,145
P22894,3tt4,1zvx,278,610766,90,1179.345546,4.242250165,0,-1,1,546277,90,311875,90,24134,41,24134,41
P22894,3tt4,1zvx,278,610766,341,1252.981594,4.507128037,0,0,-1,515857,341,265490,341,17595,197,17595,197
P22894,3tt4,1zvx,278,610766,1673,1209.463933,4.350589689,0,0,0,544065,1673,320197,1673,29518,1055,29518,1055
P22894,3tt4,1zvx,278,610766,595,1095.902468,3.942095209,0,0,1,528879,595,304911,595,31209,57,31209,57
P22894,3tt4,1zvx,278,610766,2,1267.429213,4.559097888,0,1,-1,456513,2,183205,2,6445,2,6445,2
P22894,3tt4,1zvx,278,610766,1173,1160.415207,4.17415542,0,1,0,506591,1173,261591,1173,15044,350,15044,350
P22894,3tt4,1zvx,278,610766,363,1098.98884,3.953197265,0,1,1,507724,363,278618,363,25576,18,25576,18
P22894,3tt4,1zvx,278,610766,214,1088.698355,3.916181133,1,-1,-1,544192,214,334009,214,39251,168,39251,168
P22894,3tt4,1zvx,278,610766,3,1081.816145,3.891424984,1,-1,0,579200,3,411141,3,64717,3,64717,3
P22894,3tt4,1zvx,278,610766,0,1184.015659,4.259049132,1,-1,1,583438,0,411752,0,61269,0,61269,0
P22894,3tt4,1zvx,278,610766,570,1229.536786,4.422794193,1,0,-1,515497,570,284477,570,32063,385,32063,385
P22894,3tt4,1zvx,278,610766,960,1166.331781,4.19543806,1,0,0,561356,960,371045,960,62036,729,62036,729
P22894,3tt4,1zvx,278,610766,385,1164.447594,4.188660412,1,0,1,569381,385,396843,385,73199,313,73199,313
P22894,3tt4,1zvx,278,610766,114,1295.846894,4.661319761,1,1,-1,475292,114,219201,114,15519,10,15519,10
P22894,3tt4,1zvx,278,610766,733,1231.842677,4.431088767,1,1,0,536146,733,323337,733,39865,440,39865,440
P22894,3tt4,1zvx,278,610766,189,1198.677977,4.311791283,1,1,1,552987,189,372270,189,64009,182,64009,182
Q16539,2bak,3d7z,300,659100,0,2248.42731,7.494757701,-1,-1,-1,87314,0,3750,0,1,0,1,0
Q16539,2bak,3d7z,300,659100,0,2184.827563,7.282758543,-1,-1,0,108342,0,6621,0,5,0,4,0
Q16539,2bak,3d7z,300,659100,0,2162.566612,7.208555373,-1,-1,1,124165,0,9735,0,21,0,12,0
Q16539,2bak,3d7z,300,659100,0,2177.010148,7.256700493,-1,0,-1,98497,0,7261,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,0,2165.991783,7.219972609,-1,0,0,125324,0,12361,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,0,2256.576421,7.521921403,-1,0,1,151648,0,16258,0,5,0,3,0
Q16539,2bak,3d7z,300,659100,0,2202.105237,7.340350789,-1,1,-1,78833,0,6121,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,0,2503.929515,8.346431718,-1,1,0,101891,0,8637,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,0,2362.618005,7.875393349,-1,1,1,128182,0,10838,0,26,0,26,0
Q16539,2bak,3d7z,300,659100,100,2436.206787,8.12068929,0,-1,-1,94690,0,3737,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,0,2428.244285,8.094147616,0,-1,0,111030,0,6449,0,2,0,0,0
Q16539,2bak,3d7z,300,659100,0,2464.387125,8.21462375,0,-1,1,121452,0,9207,0,18,0,13,0
Q16539,2bak,3d7z,300,659100,104,2446.275948,8.154253161,0,0,-1,96785,1,6125,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,0,2368.42701,7.894756699,0,0,0,120677,0,10177,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,0,2472.084443,8.240281477,0,0,1,143655,0,12993,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,0,2489.595109,8.298650362,0,1,-1,69596,0,3876,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,0,2441.806798,8.139355994,0,1,0,91281,0,5810,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,0,2428.624689,8.09541563,0,1,1,113146,0,7677,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,93,2468.232033,8.227440109,1,-1,-1,70605,0,2492,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,0,2548.265781,8.494219271,1,-1,0,83098,0,3936,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,0,2435.532526,8.118441754,1,-1,1,90111,0,5492,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,98,2465.29295,8.217643166,1,0,-1,72272,0,2636,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,0,2524.634825,8.415449415,1,0,0,88787,0,4840,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,0,2172.560421,7.241868071,1,0,1,104680,0,6944,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,0,2262.904761,7.543015869,1,1,-1,47350,0,1049,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,0,2436.071423,8.120238076,1,1,0,63187,0,2263,0,0,0,0,0
Q16539,2bak,3d7z,300,659100,0,2421.890595,8.07296865,1,1,1,78121,0,3786,0,0,0,0,0
C8B467,5jfu,5jfp,300,659100,0,2084.229851,6.947432836,-1,-1,-1,346351,0,75826,0,166,0,166,0
C8B467,5jfu,5jfp,300,659100,180,2056.579114,6.855263714,-1,-1,0,330016,180,79916,180,1788,118,1788,118
C8B467,5jfu,5jfp,300,659100,0,2115.211449,7.05070483,-1,-1,1,267315,0,52146,0,261,0,261,0
C8B467,5jfu,5jfp,300,659100,10,2066.128503,6.887095009,-1,0,-1,313161,10,61784,10,16,0,16,0
C8B467,5jfu,5jfp,300,659100,1527,2122.996633,7.076655443,-1,0,0,285904,1527,57925,1428,103,12,103,12
C8B467,5jfu,5jfp,300,659100,189,2216.20513,7.387350434,-1,0,1,212200,189,22808,171,12,0,12,0
