,name,start_clash,target_clash,rmsd,glide_score,score_no_vdw,modified_score_no_vdws
0,"21_-1,-1,1_5,-15,-10",47.70408398,29.58833923,2.242676816,10000,-2.445,-2.445
1,"21_-1,-1,1_5,-15,-5",48.67040067,27.84217327,2.222581176,10000,-1.83,-1.83
2,"21_-1,-1,1_5,-10,-5",38.36744922,27.2492626,2.083793356,10000,-2.145,-2.145
3,"21_-1,-1,1_5,-5,-5",35.38368198,28.66332374,1.997567182,10000,-2.51,-2.51
4,"21_-1,-1,1_10,-15,-10",50.56674488,25.20244014,2.36290362,10000,-1.79,-1.79
5,"21_-1,-1,1_10,-10,-10",41.97567357,24.71265706,2.211545312,10000,-2.32,-2.32
6,"21_-1,-1,1_10,-10,-5",46.42834913,28.62829369,2.187722532,10000,-1.89,-1.89
7,"21_-1,-1,1_10,-5,-10",41.50508919,27.66188485,2.104418735,10000,-2.97,-2.97
8,"21_-1,-1,1_10,-5,-5",37.36563226,27.02012232,2.074288804,10000,-2.35,-2.35
9,"21_-1,-1,1_10,0,-5",35.39089419,28.00754847,2.016152299,10000,-2.465,-2.465
10,"21_-1,-1,1_15,-10,-10",50.49788001,26.01125906,2.358321706,10000,-2.03,-2.03
11,"21_-1,-1,1_15,-5,-10",45.55157422,25.97997952,2.232517467,10000,-2.48,-2.48
12,"21_-1,-1,1_15,0,-10",46.91849534,29.17769322,2.153336245,10000,-3.135,-3.135
13,"21_-1,-1,1_15,0,-5",40.94902689,28.96559264,2.114129402,10000,-2.46,-2.46
14,"21_-1,-1,1_20,-5,-10",56.47118825,29.25068363,2.402199961,10000,-2.265,-2.265
15,"21_-1,-1,1_20,0,-10",54.73859557,29.96034093,2.303987256,10000,-2.94,-2.94
16,"23_-1,-1,1_10,-10,-10",47.30053742,29.24812261,2.294813989,10000,-2.3,-2.3
17,"23_-1,-1,1_10,-10,-5",47.88105842,29.75994487,2.259851261,10000,-2.105,-2.105
18,"23_-1,-1,1_10,-5,-5",40.1039215,29.24312998,2.150878385,10000,-2.535,-2.535
19,"23_-1,-1,1_15,-10,-10",52.86276455,27.87614647,2.432856142,10000,-1.835,-1.835
20,"23_-1,-1,1_15,-5,-10",48.74311751,28.38334545,2.311561828,10000,-2.58,-2.58
21,"23_-1,-1,1_15,0,-5",42.26879405,29.87009555,2.186780653,10000,-2.46,-2.46
22,"23_-1,-1,1_20,-5,-10",57.34248061,29.67825576,2.471730166,10000,-2.26,-2.26
23,"65_-1,-1,1_15,-10,-10",58.31060118,29.10270991,2.423523025,10000,-1.835,-1.835
24,"71_-1,-1,1_10,-20,-5",88.85937437,28.91947487,3.81830958,10000,-2.93,-2.93
25,"71_-1,-1,1_10,-15,-5",78.34666688,25.9775954,3.655166505,10000,-2.76,-2.76
26,"71_-1,-1,1_10,-10,-5",66.0993697,24.25581695,3.548783078,10000,-3.135,-3.135
27,"71_-1,-1,1_10,-5,-10",45.95179989,29.13722073,3.49509878,10000,-2.12,-2.12
