,protein,target,start,num_conformers,num_poses_searched,num_correct_poses_found,time_elapsed,time_elapsed_per_conformer,
0,P35968,4agc,3vhk,159,274752,0,66.58828568,0.41879425,
1,A5F5R2,4x24,4wkb,87,150336,2652,37.7538867,0.433952721,
2,P22894,3tt4,1zvx,278,480384,0,103.1404207,0.371008707,
3,P03366,1ebw,1ec0,300,518400,0,116.8089552,0.389363184,
4,Q16539,2bak,3d7z,300,518400,0,123.2594588,0.410864863,
5,C8B467,5jfu,5jfp,300,518400,212,118.659574,0.395531913,
6,P19491,1p1n,1wvj,75,129600,0,27.82474852,0.370996647,
7,P22756,3gba,2wky,183,316224,8283,68.20036602,0.372679596,
8,P00517,1xh5,1yds,290,501120,0,116.8857481,0.403054304,
9,Q58597,4rrg,4rrf,236,407808,2376,87.99168301,0.372846114,
,,,,,,,,,
,,,,,,,,0.39390923,Average time elapsed per conformer
,,,,,,,,118.172769,Average time for 300 conformers
